price,name,1,2,3,4
40,Carlos Alcaraz,Monte-Carlo,Barcelona,Madrid,
36,Jannik Sinner,Monte-Carlo,,Madrid,
33,Alexander Zverev,Monte-Carlo,Munich,Madrid,
30,Novak Djokovic,,,Madrid,
27,Felix Auger-Aliassime,Monte-Carlo,Barcelona,Madrid,
24,Ben Shelton,,Munich,Madrid,
21,Taylor Fritz,,,Madrid,
19,Alex de Minaur,Monte-Carlo,Barcelona,Madrid,
17,Lorenzo Musetti,Monte-Carlo,Barcelona,Madrid,
15,Daniil Medvedev,Monte-Carlo,,Madrid,
14,Alexander Bublik,Monte-Carlo,Munich,Madrid,
13,Casper Ruud,Monte-Carlo,Barcelona,Madrid,
12,Jiri Lehecka,Monte-Carlo,Munich,Madrid,
11,Karen Khachanov,Monte-Carlo,Barcelona,Madrid,
10,Andrey Rublev,Monte-Carlo,Barcelona,Madrid,
9,Flavio Cobolli,Monte-Carlo,Munich,Madrid,
8,Tommy Paul,,,Madrid,
8,Luciano Darderi,Monte-Carlo,Munich,Madrid,
8,Francisco Cerundolo,Monte-Carlo,Munich,Madrid,
8,Frances Tiafoe,,,Madrid,
7,Valentin Vacherot,Monte-Carlo,Barcelona,Madrid,
7,Learner Tien,,Barcelona,Madrid,
7,Jakub Mensik,,Munich,Madrid,
7,Cameron Norrie,Monte-Carlo,Barcelona,Madrid,
7,Alejandro Davidovich Fokina,,Barcelona,Madrid,
6,Tomas Martin Etcheverry,Monte-Carlo,Barcelona,Madrid,
6,Jack Draper,,Barcelona,Madrid,
6,Holger Rune,,,,
6,Arthur Rinderknech,Monte-Carlo,Munich,Madrid,
6,Arthur Fils,,Barcelona,Madrid,
5,Ugo Humbert,Monte-Carlo,Barcelona,Madrid,
5,Tallon Griekspoor,Monte-Carlo,Munich,Madrid,
5,Joao Fonseca,Monte-Carlo,Munich,Madrid,
5,Corentin Moutet,Monte-Carlo,Barcelona,Madrid,
5,Brandon Nakashima,,Barcelona,Madrid,
5,Alex Michelsen,,Munich,Madrid,
4,Zizou Bergs,Monte-Carlo,Munich,Madrid,
4,Tomas Machac,Monte-Carlo,Barcelona,Madrid,
4,Terence Atmane,Monte-Carlo,,Madrid,
4,Sebastian Korda,,,Madrid,
4,Marin Cilic,Monte-Carlo,Munich,Madrid,
4,Mariano Navone,,Munich,Madrid,
4,Jaume Munar,,Barcelona,Madrid,
4,Gabriel Diallo,Monte-Carlo,Munich,Madrid,
4,Fabian Marozsan,Monte-Carlo,Munich,Madrid,
4,Denis Shapovalov,Monte-Carlo,Munich,Madrid,
4,Botic van de Zandschulp,,Munich,Madrid,
4,Alejandro Tabilo,Monte-Carlo,Munich,Madrid,
4,Adrian Mannarino,Monte-Carlo,Barcelona,Madrid,
3,Yannick Hanfmann,,Munich,Madrid,
3,Thiago Agustin Tirante,,,Madrid,
3,Stefanos Tsitsipas,Monte-Carlo,Munich,Madrid,
3,Sebastian Baez,Monte-Carlo,,Madrid,
3,Roman Andres Burruchaga,,,Madrid,
3,Reilly Opelka,,Munich,Madrid,
3,Rafael Jodar,,,,
3,Nuno Borges,Monte-Carlo,Barcelona,Madrid,
3,Miomir Kecmanovic,Monte-Carlo,Munich,Madrid,
3,Marton Fucsovics,Monte-Carlo,Munich,Madrid,
3,Marcos Giron,,Munich,Madrid,
3,Lorenzo Sonego,,Barcelona,Madrid,
3,Kamil Majchrzak,,Munich,Madrid,
3,Juan Manuel Cerundolo,Monte-Carlo,Barcelona,Madrid,
3,Jenson Brooksby,,,Madrid,
3,Ignacio Buse,Monte-Carlo,Barcelona,Madrid,
3,Hubert Hurkacz,Monte-Carlo,Munich,Madrid,
3,Giovanni Mpetshi Perricard,,Barcelona,Madrid,
3,Ethan Quinn,Monte-Carlo,Barcelona,Madrid,
3,Daniel Altmaier,Monte-Carlo,Munich,Madrid,
3,Camilo Ugo Carabelli,,Munich,Madrid,
3,Arthur Cazaux,,,Madrid,
3,Alexei Popyrin,Monte-Carlo,,Madrid,
3,Alexander Shevchenko,Monte-Carlo,Munich,Madrid,
3,Alexander Blockx,Monte-Carlo,Barcelona,Madrid,
2,Zachary Svajda,,,Madrid,
2,Vit Kopriva,Monte-Carlo,Munich,Madrid,
2,Valentin Royer,,,Madrid,
2,Sebastian Ofner,,Barcelona,Madrid,
2,Roberto Bautista Agut,Monte-Carlo,Barcelona,Madrid,
2,Rinky Hijikata,,,Madrid,
2,Raphael Collignon,,,Madrid,
2,Quentin Halys,Monte-Carlo,Barcelona,Madrid,
2,Patrick Kypson,,Barcelona,Madrid,
2,Pablo Carreno Busta,,,Madrid,
2,Mattia Bellucci,,,Madrid,
2,Matteo Berrettini,Monte-Carlo,,Madrid,
2,Marco Trungelliti,,Barcelona,Madrid,
2,Luca Van Assche,,,Madrid,
2,Jan-Lennard Struff,Monte-Carlo,Munich,Madrid,
2,James Duckworth,,,,
2,Jacob Fearnley,,,Madrid,
2,Hamad Medjedovic,,Barcelona,Madrid,
2,Francisco Comesana,Monte-Carlo,,Madrid,
2,Eliot Spizzirri,,,Madrid,
2,Daniel Merida,,,,
2,Damir Dzumhur,Monte-Carlo,Munich,Madrid,
2,Cristian Garin,Monte-Carlo,Munich,Madrid,
2,Alexandre Muller,Monte-Carlo,Barcelona,Madrid,
2,Aleksandar Vukic,Monte-Carlo,Barcelona,Madrid,
2,Aleksandar Kovacevic,,,Madrid,
2,Adolfo Daniel Vallejo,,,Madrid,
1,Zachary Adam-Gedge,,,,
1,Wissam Abderrahman,,,,
1,Walid Ahouda,,,,
1,Vesa Ahti,,,,
1,Valerio Aboian,,,,
1,Simone Agostini,,,,
1,Sarp Agabigun,,,,
1,Parth Aggarwal,,,,
1,Motoharu Abe,,,,
1,Michael Agwi,,,,
1,Leonardo Aboian,,,,
1,Laurin Aerne,,,,
1,Juan Carlos Aguilar,,,,
1,Joaquin Aguilar Cardozo,,,,
1,Izyan Ahmad,,,,
1,Harrison Adams,,,,
1,Franco Agamenone,,,,
1,Federico Aguilar Cardozo,,,,
1,Eric Ahren Moonga,,,,
1,Enzo Aguiard,,,,
1,Elyas Abdulnabi,,,,
1,Egor Agafonov,,,,
1,Duje Ajdukovic,,,,
1,Danielle Abadia,,,,
1,Dan Added,,,,
1,Damir Abdusamadov,,,,
1,Artur Aiukhanov,,,,
